Date,Price,Open,High,Low,Vol.,Change %
11-Jul-19,1451.40,1461.40,1467.20,1461.40,0.01K,-0.36%
10-Jul-19,1456.60,1450.50,1450.50,1450.50,0.07K,0.84%
9-Jul-19,1444.40,1430.60,1430.80,1430.60,0.02K,0.07%
8-Jul-19,1443.40,1436.90,1436.90,1436.90,0.05K,0.05%
5-Jul-19,1442.70,1428.00,1433.00,1428.00,0.02K,1.35%
4-Jul-19,1423.55,1421.25,1426.65,1412.85,-,-2.64%
3-Jul-19,1462.10,1465.50,1465.50,1461.90,0.00K,0.91%
2-Jul-19,1448.90,1428.60,1428.60,1428.60,0.07K,1.34%
1-Jul-19,1429.70,1444.00,1444.00,1424.40,0.01K,-1.60%
28-Jun-19,1452.90,1451.00,1451.00,1445.70,0.06K,0.16%
27-Jun-19,1450.60,1444.50,1444.50,1444.50,0.06K,-0.23%
26-Jun-19,1453.90,1441.90,1445.40,1440.50,0.04K,-0.24%
25-Jun-19,1457.40,1461.30,1473.90,1448.70,0.09K,0.03%
24-Jun-19,1457.00,1439.10,1449.60,1439.00,0.01K,1.25%
21-Jun-19,1439.00,1444.00,1444.00,1419.60,0.02K,0.21%
20-Jun-19,1436.00,1419.10,1428.70,1417.40,0.41K,3.22%
19-Jun-19,1391.20,1382.10,1382.10,1382.10,0.09K,-0.26%
18-Jun-19,1394.80,1379.70,1394.50,1379.70,0.18K,0.56%
17-Jun-19,1387.00,1379.70,1384.20,1379.70,0.02K,-0.14%
14-Jun-19,1388.90,1389.20,1389.20,1379.80,0.04K,0.06%
13-Jun-19,1388.10,1378.30,1378.70,1378.30,0.00K,0.50%
12-Jun-19,1381.20,1373.80,1373.80,1373.80,0.01K,0.35%
11-Jun-19,1376.40,1369.00,1369.00,1369.00,1.01K,0.15%
10-Jun-19,1374.30,1378.00,1378.00,1367.00,0.01K,-1.08%
7-Jun-19,1389.30,1388.50,1388.50,1382.40,0.05K,0.25%
6-Jun-19,1385.90,1370.00,1370.00,1370.00,0.09K,0.60%
5-Jun-19,1377.60,1376.60,1376.60,1368.80,0.16K,0.27%
4-Jun-19,1373.90,1366.50,1366.50,1366.50,0.03K,0.07%
3-Jun-19,1372.90,1356.50,1356.50,1356.50,0.07K,1.13%
31-May-19,1357.50,1342.90,1347.80,1342.90,0.22K,1.20%
30-May-19,1341.40,1332.40,1332.40,1332.40,0.33K,1.12%
29-May-19,1326.50,1327.80,1327.80,1327.80,0.00K,0.24%
28-May-19,1323.30,1322.60,1322.60,1322.60,0.12K,2.98%
27-May-19,1284.95,1284.25,1286.85,1283.25,-,0.06%
26-May-19,1284.15,1284.20,1285.15,1283.65,-,-3.45%
24-May-19,1330.10,1329.20,1329.20,1329.20,0.00K,-0.13%
23-May-19,1331.80,1328.40,1328.40,1328.40,0.00K,0.79%
22-May-19,1321.30,1321.30,1321.30,1321.30,0.02K,0.09%
21-May-19,1320.10,1320.10,1320.10,1320.10,0.10K,-0.31%
20-May-19,1324.20,1324.20,1324.20,1324.20,0.08K,0.13%
17-May-19,1322.50,1322.50,1322.50,1322.50,0.21K,-0.80%
16-May-19,1333.10,1333.10,1333.10,1333.10,0.11K,-0.85%
15-May-19,1344.50,1344.50,1344.50,1344.50,0.06K,0.08%
14-May-19,1343.40,1343.40,1343.40,1343.40,0.20K,-0.50%
13-May-19,1350.20,1350.20,1350.20,1350.20,0.12K,0.97%
10-May-19,1337.20,1337.20,1337.20,1337.20,0.05K,0.16%
9-May-19,1335.10,1335.10,1335.10,1335.10,0.04K,0.28%
8-May-19,1331.40,1338.00,1338.00,1338.00,0.05K,-0.33%
7-May-19,1335.80,1335.80,1335.80,1335.80,0.12K,0.13%
6-May-19,1334.00,1334.00,1334.00,1334.00,0.01K,0.17%
3-May-19,1331.70,1331.70,1331.70,1331.70,0.02K,0.72%
2-May-19,1322.20,1323.00,1323.00,1323.00,0.00K,-0.90%
1-May-19,1334.20,1334.20,1334.20,1334.20,0.26K,-0.11%
30-Apr-19,1335.70,1335.70,1335.70,1335.70,0.21K,0.31%
29-Apr-19,1331.60,1331.60,1331.60,1331.60,0.14K,-0.57%
26-Apr-19,1339.20,1339.20,1339.20,1339.20,0.38K,0.68%
25-Apr-19,1330.20,1330.20,1330.20,1330.20,0.00K,0.02%
24-Apr-19,1329.90,1329.90,1329.90,1329.90,0.15K,0.46%
23-Apr-19,1323.80,1323.80,1323.80,1323.80,0.01K,-0.35%
22-Apr-19,1328.50,1328.50,1328.50,1328.50,0.00K,3.96%
19-Apr-19,1277.90,1277.90,1277.90,1277.90,-,-3.69%
18-Apr-19,1326.90,1326.90,1326.90,1326.90,0.08K,-0.05%
17-Apr-19,1327.60,1327.60,1327.60,1327.60,0.06K,-0.04%
16-Apr-19,1328.10,1329.10,1329.10,1329.00,0.05K,-1.07%
15-Apr-19,1342.40,1342.40,1342.40,1342.40,0.02K,-0.29%
12-Apr-19,1346.30,1346.30,1346.30,1346.30,0.23K,0.22%
11-Apr-19,1343.40,1356.60,1356.60,1356.60,0.00K,-1.50%
10-Apr-19,1363.90,1363.90,1363.90,1363.90,0.08K,0.40%
9-Apr-19,1358.40,1358.40,1358.40,1358.40,0.00K,0.48%
8-Apr-19,1351.90,1351.90,1351.90,1351.90,0.00K,0.50%
5-Apr-19,1345.20,1345.20,1345.20,1345.20,0.05K,0.13%
4-Apr-19,1343.50,1343.50,1343.50,1343.50,0.04K,-0.04%
3-Apr-19,1344.00,1344.00,1344.00,1344.00,0.05K,0.01%
2-Apr-19,1343.90,1340.80,1343.20,1340.80,0.00K,0.09%
1-Apr-19,1342.70,1342.70,1342.70,1342.70,0.03K,-0.25%
29-Mar-19,1346.00,1354.10,1354.10,1354.10,0.00K,0.27%
28-Mar-19,1342.40,1348.00,1348.00,1342.20,0.01K,-1.57%
27-Mar-19,1363.80,1363.80,1363.80,1363.80,0.04K,-0.40%
26-Mar-19,1369.30,1369.30,1369.30,1369.30,0.01K,-0.64%
25-Mar-19,1378.10,1378.10,1378.10,1378.10,0.10K,0.64%
